160,120,57,89
2021-07-16 12:46:57.100703,160,120,174,117
2021-07-16 12:46:57.326284,160,120,164,117
2021-07-16 12:46:57.569101,160,120,164,117
2021-07-16 12:46:57.794379,160,120,164,117
2021-07-16 12:46:58.036360,160,120,155,117
2021-07-16 12:47:01.040144,160,120,155,117
2021-07-16 12:47:02.925511,160,120,155,117
2021-07-16 12:47:03.164320,160,120,164,126
2021-07-16 12:47:03.389817,160,120,174,126
2021-07-16 12:47:03.628673,160,120,174,126
2021-07-16 12:47:03.850755,160,120,174,126
2021-07-16 12:47:04.094583,160,120,184,126
2021-07-16 12:47:04.317697,160,120,184,126
2021-07-16 12:47:04.557635,160,120,184,126
2021-07-16 12:47:04.787445,160,120,174,117
2021-07-16 12:47:05.029411,160,120,174,117
2021-07-16 12:47:05.256164,160,120,164,126
2021-07-16 12:47:05.500662,160,120,164,126
2021-07-16 12:47:05.727964,160,120,155,117
2021-07-16 12:47:05.972758,160,120,155,117
2021-07-16 12:47:06.202873,160,120,155,117
2021-07-16 12:47:06.745055,160,120,155,117
2021-07-16 12:47:12.154930,160,120,140,117
2021-07-16 12:47:12.387013,160,120,136,117
2021-07-16 12:47:12.850467,160,120,140,117
2021-07-16 12:47:15.231409,160,120,145,107
2021-07-16 12:47:15.701807,160,120,145,107
2021-07-16 12:47:16.918954,160,120,155,107
2021-07-16 12:47:17.375378,160,120,145,107
2021-07-16 12:47:28.923889,160,120,153,129
2021-07-16 12:47:38.244826,160,120,184,107
2021-07-16 12:47:38.468122,160,120,184,107
2021-07-16 12:47:38.692578,160,120,184,107
2021-07-16 12:47:38.916233,160,120,184,107
2021-07-16 12:47:39.148261,160,120,184,107
2021-07-16 12:47:39.380477,160,120,184,107
2021-07-16 12:47:39.612775,160,120,184,107
2021-07-16 12:47:40.798880,160,120,174,117
2021-07-16 12:47:41.521608,160,120,164,117
2021-07-16 12:47:41.762934,160,120,164,117
2021-07-16 12:47:42.004006,160,120,164,117
2021-07-16 12:47:42.249127,160,120,164,117
2021-07-16 12:47:42.489937,160,120,164,117
2021-07-16 12:47:42.980273,160,120,174,126
2021-07-16 12:47:43.428614,160,120,164,126
2021-07-16 12:47:43.648581,160,120,153,129
2021-07-16 12:47:44.312871,160,120,121,137
2021-07-16 12:47:44.535147,160,120,121,137
2021-07-16 12:47:44.755743,160,120,121,137
2021-07-16 12:47:44.977353,160,120,121,137
2021-07-16 12:47:45.632319,160,120,129,137
2021-07-16 12:47:45.850825,160,120,145,137
2021-07-16 12:47:47.025032,160,120,145,137
2021-07-16 12:47:47.253040,160,120,145,137
2021-07-16 12:47:47.476103,160,120,145,137
2021-07-16 12:47:47.922828,160,120,145,137
2021-07-16 12:47:48.144422,160,120,145,137
2021-07-16 12:47:48.363507,160,120,145,137
2021-07-16 12:47:49.043370,160,120,137,129
2021-07-16 12:47:49.263093,160,120,129,129
2021-07-16 12:47:50.144500,160,120,113,129
2021-07-16 12:47:50.370829,160,120,129,121
2021-07-16 12:47:50.825786,160,120,153,121
2021-07-16 12:47:55.881263,160,120,83,94
2021-07-16 12:49:37.012293,160,120,126,97
2021-07-16 12:49:37.236170,160,120,126,97
2021-07-16 12:49:37.466568,160,120,126,97
2021-07-16 12:49:37.696012,160,120,136,97
2021-07-16 12:49:37.928677,160,120,136,97
2021-07-16 12:49:38.148726,160,120,136,97
2021-07-16 12:49:38.399298,160,120,126,97
2021-07-16 12:49:38.622942,160,120,126,97
2021-07-16 12:49:38.841124,160,120,117,97
2021-07-16 12:49:39.059029,160,120,117,97
2021-07-16 12:49:39.276623,160,120,117,97
2021-07-16 12:49:39.496165,160,120,117,97
2021-07-16 12:49:39.713201,160,120,117,97
2021-07-16 12:49:39.932946,160,120,117,97
